instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
CMOVAE m64,CMOVAE r/m64,,CMOVAE,1,0,1,0,0,0,64,NONE
CMOVAE r16,CMOVAE r16,,CMOVAE,1,0,0,0,0,64,0,NONE
CMOVAE r32,CMOVAE r32,,CMOVAE,1,0,0,0,0,64,0,NONE
CMOVAE r64,CMOVAE r64,,CMOVAE,1,0,0,0,0,64,0,NONE
CMOVB r16,CMOVB r/m16,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVB m16,CMOVB r/m16,,CMOVB,1,0,1,0,0,16,16,NONE
CMOVB r32,CMOVB r/m32,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVB m32,CMOVB r/m32,,CMOVB,1,0,1,0,0,0,32,NONE
CMOVB r64,CMOVB r/m64,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVB m64,CMOVB r/m64,,CMOVB,1,0,1,0,0,0,64,NONE
CMOVB r16,CMOVB r16,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVB r32,CMOVB r32,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVB r64,CMOVB r64,,CMOVB,1,0,0,0,0,64,0,NONE
CMOVBE r16,CMOVBE r/m16,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVBE m16,CMOVBE r/m16,,CMOVBE,1,0,1,0,0,16,16,NONE
CMOVBE r32,CMOVBE r/m32,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVBE m32,CMOVBE r/m32,,CMOVBE,1,0,1,0,0,0,32,NONE
CMOVBE r64,CMOVBE r/m64,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVBE m64,CMOVBE r/m64,,CMOVBE,1,0,1,0,0,0,64,NONE
CMOVBE r16,CMOVBE r16,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVBE r32,CMOVBE r32,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVBE r64,CMOVBE r64,,CMOVBE,1,0,0,0,0,64,0,NONE
CMOVC r16,CMOVC r/m16,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVC m16,CMOVC r/m16,,CMOVC,1,0,1,0,0,16,16,NONE
CMOVC r32,CMOVC r/m32,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVC m32,CMOVC r/m32,,CMOVC,1,0,1,0,0,0,32,NONE
CMOVC r64,CMOVC r/m64,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVC m64,CMOVC r/m64,,CMOVC,1,0,1,0,0,0,64,NONE
CMOVC r16,CMOVC r16,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVC r32,CMOVC r32,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVC r64,CMOVC r64,,CMOVC,1,0,0,0,0,64,0,NONE
CMOVE r16,CMOVE r/m16,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVE m16,CMOVE r/m16,,CMOVE,1,0,1,0,0,16,16,NONE
CMOVE r32,CMOVE r/m32,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVE m32,CMOVE r/m32,,CMOVE,1,0,1,0,0,0,32,NONE
CMOVE r64,CMOVE r/m64,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVE m64,CMOVE r/m64,,CMOVE,1,0,1,0,0,0,64,NONE
CMOVE r16,CMOVE r16,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVE r32,CMOVE r32,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVE r64,CMOVE r64,,CMOVE,1,0,0,0,0,64,0,NONE
CMOVG r16,CMOVG r/m16,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVG m16,CMOVG r/m16,,CMOVG,1,0,1,0,0,16,16,NONE
CMOVG r32,CMOVG r/m32,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVG m32,CMOVG r/m32,,CMOVG,1,0,1,0,0,0,32,NONE
CMOVG r64,CMOVG r/m64,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVG m64,CMOVG r/m64,,CMOVG,1,0,1,0,0,0,64,NONE
CMOVG r16,CMOVG r16,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVG r32,CMOVG r32,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVG r64,CMOVG r64,,CMOVG,1,0,0,0,0,64,0,NONE
CMOVGE r16,CMOVGE r/m16,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVGE m16,CMOVGE r/m16,,CMOVGE,1,0,1,0,0,16,16,NONE
CMOVGE r32,CMOVGE r/m32,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVGE m32,CMOVGE r/m32,,CMOVGE,1,0,1,0,0,0,32,NONE
CMOVGE r64,CMOVGE r/m64,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVGE m64,CMOVGE r/m64,,CMOVGE,1,0,1,0,0,0,64,NONE
CMOVGE r16,CMOVGE r16,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVGE r32,CMOVGE r32,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVGE r64,CMOVGE r64,,CMOVGE,1,0,0,0,0,64,0,NONE
CMOVL r16,CMOVL r/m16,,CMOVL,1,0,0,0,0,64,0,NONE
CMOVL m16,CMOVL r/m16,,CMOVL,1,0,1,0,0,16,16,NONE
CMOVL r32,CMOVL r/m32,,CMOVL,1,0,0,0,0,64,0,NONE
