Instruction Syntax
EVEX.128.66.0F.WIG 73 /3 ibVPSRLDQ xmm1
EVEX.128.66.0F.WIG 73 /7 ibVPSLLDQ xmm1
EVEX.128.66.0F.WIG 74 /rVPCMPEQB k1 {k2}
EVEX.128.66.0F.WIG 75 /rVPCMPEQW k1 {k2}
EVEX.128.66.0F.WIG C4 /r ibVPINSRW xmm1
EVEX.128.66.0F.WIG C5 /r ibVPEXTRW reg
EVEX.128.66.0F.WIG D1 /rVPSRLW xmm1 {k1}{z}
EVEX.128.66.0F.WIG D5 /rVPMULLW xmm1 {k1}{z}
EVEX.128.66.0F.WIG D8 /rVPSUBUSB xmm1 {k1}{z}
EVEX.128.66.0F.WIG D9 /rVPSUBUSW xmm1 {k1}{z}
EVEX.128.66.0F.WIG DC /rVPADDUSB xmm1 {k1}{z}
EVEX.128.66.0F.WIG DD /rVPADDUSW xmm1 {k1}{z}
EVEX.128.66.0F.WIG DE /rVPMAXUB xmm1{k1}{z}
EVEX.128.66.0F.WIG E0 /rVPAVGB xmm1 {k1}{z}
EVEX.128.66.0F.WIG E1 /rVPSRAW xmm1 {k1}{z}
EVEX.128.66.0F.WIG E3 /rVPAVGW xmm1 {k1}{z}
EVEX.128.66.0F.WIG E4 /rVPMULHUW xmm1 {k1}{z}
EVEX.128.66.0F.WIG E5 /rVPMULHW xmm1 {k1}{z}
EVEX.128.66.0F.WIG E8 /rVPSUBSB xmm1 {k1}{z}
EVEX.128.66.0F.WIG E9 /rVPSUBSW xmm1 {k1}{z}
EVEX.128.66.0F.WIG EA /rVPMINSW xmm1{k1}{z}
EVEX.128.66.0F.WIG EC /rVPADDSB xmm1 {k1}{z}
EVEX.128.66.0F.WIG ED /rVPADDSW xmm1 {k1}{z}
EVEX.128.66.0F.WIG EE /rVPMAXSW xmm1{k1}{z}
EVEX.128.66.0F.WIG F1 /rVPSLLW xmm1 {k1}{z}
EVEX.128.66.0F.WIG F5 /rVPMADDWD xmm1 {k1}{z}
EVEX.128.66.0F.WIG F6 /rVPSADBW xmm1
EVEX.128.66.0F.WIG F8 /rVPSUBB xmm1 {k1}{z}
EVEX.128.66.0F.WIG F9 /rVPSUBW xmm1 {k1}{z}
EVEX.128.66.0F.WIG FC /rVPADDB xmm1 {k1}{z}
EVEX.128.66.0F.WIG FD /rVPADDW xmm1 {k1}{z}
EVEX.128.66.0F.WIG imm8
EVEX.128.66.0F.WIG r32/m16
EVEX.128.66.0F.WIG xmm1
EVEX.128.66.0F.WIG xmm2
EVEX.128.66.0F.WIG xmm2/ m128
EVEX.128.66.0F.WIG xmm2/m128
EVEX.128.66.0F.WIG xmm3 /m128
EVEX.128.66.0F.WIG xmm3/m128
EVEX.128.66.0F38 30.WIG /rVPMOVZXBW xmm1 {k1}{z}
EVEX.128.66.0F38 3A/rVPMINUW xmm1{k1}{z}
EVEX.128.66.0F38 xmm2
EVEX.128.66.0F38 xmm2/m64
EVEX.128.66.0F38 xmm3/m128
EVEX.128.66.0F38.W0 0C /rVPERMILPS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 13 /rVCVTPH2PS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 14 /rVPRORVD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 15 /rVPROLVD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 18 /rVBROADCASTSS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 1E /rVPABSD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 25 /rVPMOVSXDQ xmm1 {k1}{z}
EVEX.128.66.0F38.W0 26 /rVPTESTMB k2 {k1}
EVEX.128.66.0F38.W0 27 /rVPTESTMD k2 {k1}
EVEX.128.66.0F38.W0 2A /rVMOVNTDQA xmm1
EVEX.128.66.0F38.W0 2B /rVPACKUSDW xmm1{k1}{z}
EVEX.128.66.0F38.W0 2C /rVSCALEFPS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 35 /rVPMOVZXDQ xmm1 {k1}{z}
EVEX.128.66.0F38.W0 39 /rVPMINSD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 3B /rVPMINUD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 3D /rVPMAXSD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 3F /rVPMAXUD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 40 /rVPMULLD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 42 /rVGETEXPPS xmm1 {k1}{z}
EVEX.128.66.0F38.W0 44 /rVPLZCNTD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 45 /rVPSRLVD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 46 /rVPSRAVD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 47 /rVPSLLVD xmm1 {k1}{z}
EVEX.128.66.0F38.W0 4C /rVRCP14PS xmm1 {k1}{z}
