Original,Opcode,Instruction
EVEX.128.0F.W0 58 /rVADDPS xmm1 {k1}{z},EVEX.128.0F.W0 58 /r,VADDPS xmm1 {k1}{z}
EVEX.128.0F.W0 59 /rVMULPS xmm1 {k1}{z},EVEX.128.0F.W0 59 /r,VMULPS xmm1 {k1}{z}
EVEX.128.0F.W0 5A /rVCVTPS2PD xmm1 {k1}{z},EVEX.128.0F.W0 5A /r,VCVTPS2PD xmm1 {k1}{z}
EVEX.128.0F.W0 5B /rVCVTDQ2PS xmm1 {k1}{z},EVEX.128.0F.W0 5B /r,VCVTDQ2PS xmm1 {k1}{z}
EVEX.128.0F.W0 5C /rVSUBPS xmm1 {k1}{z},EVEX.128.0F.W0 5C /r,VSUBPS xmm1 {k1}{z}
EVEX.128.0F.W0 5D /rVMINPS xmm1 {k1}{z},EVEX.128.0F.W0 5D /r,VMINPS xmm1 {k1}{z}
EVEX.128.0F.W0 5E /rVDIVPS xmm1 {k1}{z},EVEX.128.0F.W0 5E /r,VDIVPS xmm1 {k1}{z}
EVEX.128.0F.W0 5F /rVMAXPS xmm1 {k1}{z},EVEX.128.0F.W0 5F /r,VMAXPS xmm1 {k1}{z}
EVEX.128.0F.W0 78 /rVCVTTPS2UDQ xmm1 {k1}{z},EVEX.128.0F.W0 78 /r,VCVTTPS2UDQ xmm1 {k1}{z}
EVEX.128.0F.W0 79 /rVCVTPS2UDQ xmm1 {k1}{z},EVEX.128.0F.W0 79 /r,VCVTPS2UDQ xmm1 {k1}{z}
EVEX.128.0F.W0 C2 /r ibVCMPPS k1 {k2},,EVEX.128.0F.W0 C2 /r ibVCMPPS k1 {k2}
EVEX.128.0F.W0 C6 /r ibVSHUFPS xmm1{k1}{z},,EVEX.128.0F.W0 C6 /r ibVSHUFPS xmm1{k1}{z}
EVEX.128.0F.W0 imm8,,EVEX.128.0F.W0 imm8
EVEX.128.0F.W0 m64,,EVEX.128.0F.W0 m64
EVEX.128.0F.W0 xmm1,,EVEX.128.0F.W0 xmm1
EVEX.128.0F.W0 xmm2,,EVEX.128.0F.W0 xmm2
EVEX.128.0F.W0 xmm2/m128,,EVEX.128.0F.W0 xmm2
EVEX.128.0F.W0 xmm2/m128,,EVEX.128.0F.W0 m128
EVEX.128.0F.W0 xmm2/m128/m32bcst,,EVEX.128.0F.W0 xmm2/m32bcst
EVEX.128.0F.W0 xmm2/m128/m32bcst,,EVEX.128.0F.W0 m128/m32bcst
EVEX.128.0F.W0 xmm2/m64/m32bcst,,EVEX.128.0F.W0 xmm2/m32bcst
EVEX.128.0F.W0 xmm2/m64/m32bcst,,EVEX.128.0F.W0 m64/m32bcst
EVEX.128.0F.W0 xmm3,,EVEX.128.0F.W0 xmm3
EVEX.128.0F.W0 xmm3/m128/m32bcst,,EVEX.128.0F.W0 xmm3/m32bcst
EVEX.128.0F.W0 xmm3/m128/m32bcst,,EVEX.128.0F.W0 m128/m32bcst
EVEX.128.0F.W1 5B /rVCVTQQ2PS xmm1 {k1}{z},EVEX.128.0F.W1 5B /r,VCVTQQ2PS xmm1 {k1}{z}
EVEX.128.0F.W1 78 /rVCVTTPD2UDQ xmm1 {k1}{z},EVEX.128.0F.W1 78 /r,VCVTTPD2UDQ xmm1 {k1}{z}
EVEX.128.0F.W1 79 /rVCVTPD2UDQ xmm1 {k1}{z},EVEX.128.0F.W1 79 /r,VCVTPD2UDQ xmm1 {k1}{z}
EVEX.128.0F.W1 xmm2/m128/m64bcst,,EVEX.128.0F.W1 xmm2/m64bcst
EVEX.128.0F.W1 xmm2/m128/m64bcst,,EVEX.128.0F.W1 m128/m64bcst
EVEX.128.66.0F DA /rVPMINUB xmm1 {k1}{z},EVEX.128.66.0F DA /r,VPMINUB xmm1 {k1}{z}
EVEX.128.66.0F xmm2,,EVEX.128.66.0F xmm2
EVEX.128.66.0F xmm3/m128,,EVEX.128.66.0F xmm3
EVEX.128.66.0F xmm3/m128,,EVEX.128.66.0F m128
EVEX.128.66.0F.W0 5B /rVCVTPS2DQ xmm1 {k1}{z},EVEX.128.66.0F.W0 5B /r,VCVTPS2DQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 62 /rVPUNPCKLDQ xmm1 {k1}{z},EVEX.128.66.0F.W0 62 /r,VPUNPCKLDQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 66 /rVPCMPGTD k1 {k2},EVEX.128.66.0F.W0 66 /r,VPCMPGTD k1 {k2}
EVEX.128.66.0F.W0 6A /rVPUNPCKHDQ xmm1 {k1}{z},EVEX.128.66.0F.W0 6A /r,VPUNPCKHDQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 6B /rVPACKSSDW xmm1 {k1}{z},EVEX.128.66.0F.W0 6B /r,VPACKSSDW xmm1 {k1}{z}
EVEX.128.66.0F.W0 6E /rVMOVD xmm1,EVEX.128.66.0F.W0 6E /r,VMOVD xmm1
EVEX.128.66.0F.W0 6F /rVMOVDQA32 xmm1 {k1}{z},EVEX.128.66.0F.W0 6F /r,VMOVDQA32 xmm1 {k1}{z}
EVEX.128.66.0F.W0 70 /r ibVPSHUFD xmm1 {k1}{z},,EVEX.128.66.0F.W0 70 /r ibVPSHUFD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /0 ibVPRORD xmm1 {k1}{z},,EVEX.128.66.0F.W0 72 /0 ibVPRORD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /1 ibVPROLD xmm1 {k1}{z},,EVEX.128.66.0F.W0 72 /1 ibVPROLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /2 ibVPSRLD xmm1 {k1}{z},,EVEX.128.66.0F.W0 72 /2 ibVPSRLD xmm1 {k1}{z}
